codigo,name,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,generation,shape,total,url_image
15,beedrill,bug,poison,90,40,65,45,80,75,1,bug-wings,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/15.svg
16,pidgey,normal,flying,45,40,40,35,35,56,1,wings,251,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/16.svg
17,pidgeotto,normal,flying,60,55,63,50,50,71,1,wings,349,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/17.svg
18,pidgeot,normal,flying,80,75,83,70,70,101,1,wings,479,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/18.svg
19,rattata,normal,NA,56,35,30,25,35,72,1,quadruped,253,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/19.svg
20,raticate,normal,NA,81,60,55,50,70,97,1,quadruped,413,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/20.svg
21,spearow,normal,flying,60,30,40,31,31,70,1,wings,262,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/21.svg
22,fearow,normal,flying,90,65,65,61,61,100,1,wings,442,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/22.svg
23,ekans,poison,NA,60,44,35,40,54,55,1,squiggle,288,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/23.svg
24,arbok,poison,NA,85,69,60,65,79,80,1,squiggle,438,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/24.svg
25,pikachu,electric,NA,55,40,35,50,50,90,1,quadruped,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/25.svg
26,raichu,electric,NA,90,55,60,90,80,110,1,upright,485,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/26.svg
27,sandshrew,ground,NA,75,85,50,20,30,40,1,upright,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/27.svg
28,sandslash,ground,NA,100,110,75,45,55,65,1,upright,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/28.svg
29,nidoran-f,poison,NA,47,52,55,40,40,41,1,quadruped,275,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/29.svg
30,nidorina,poison,NA,62,67,70,55,55,56,1,quadruped,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/30.svg
31,nidoqueen,poison,ground,92,87,90,75,85,76,1,upright,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/31.svg
32,nidoran-m,poison,NA,57,40,46,40,40,50,1,quadruped,273,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/32.svg
33,nidorino,poison,NA,72,57,61,55,55,65,1,quadruped,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/33.svg
34,nidoking,poison,ground,102,77,81,85,75,85,1,upright,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/34.svg
35,clefairy,fairy,NA,45,48,70,60,65,35,1,upright,323,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/35.svg
36,clefable,fairy,NA,70,73,95,95,90,60,1,upright,483,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/36.svg
37,vulpix,fire,NA,41,40,38,50,65,65,1,quadruped,299,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/37.svg
38,ninetales,fire,NA,76,75,73,81,100,100,1,quadruped,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/38.svg
39,jigglypuff,normal,fairy,45,20,115,45,25,20,1,humanoid,270,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/39.svg
40,wigglytuff,normal,fairy,70,45,140,85,50,45,1,humanoid,435,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/40.svg
41,zubat,poison,flying,45,35,40,30,40,55,1,wings,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/41.svg
42,golbat,poison,flying,80,70,75,65,75,90,1,wings,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/42.svg
43,oddish,grass,poison,50,55,45,75,65,30,1,legs,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/43.svg
44,gloom,grass,poison,65,70,60,85,75,40,1,humanoid,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/44.svg
45,vileplume,grass,poison,80,85,75,110,90,50,1,humanoid,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/45.svg
46,paras,bug,grass,70,55,35,45,55,25,1,armor,285,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/46.svg
47,parasect,bug,grass,95,80,60,60,80,30,1,armor,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/47.svg
48,venonat,bug,poison,55,50,60,40,55,45,1,humanoid,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/48.svg
49,venomoth,bug,poison,65,60,70,90,75,90,1,bug-wings,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/49.svg
50,diglett,ground,NA,55,25,10,35,45,95,1,blob,265,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/50.svg
51,dugtrio,ground,NA,80,50,35,50,70,120,1,heads,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/51.svg
52,meowth,normal,NA,45,35,40,40,40,90,1,quadruped,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/52.svg
53,persian,normal,NA,70,60,65,65,65,115,1,quadruped,440,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/53.svg
54,psyduck,water,NA,52,48,50,65,50,55,1,upright,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/54.svg
55,golduck,water,NA,82,78,80,95,80,85,1,upright,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/55.svg
56,mankey,fighting,NA,80,35,40,35,45,70,1,upright,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/56.svg
57,primeape,fighting,NA,105,60,65,60,70,95,1,upright,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/57.svg
58,growlithe,fire,NA,70,45,55,70,50,60,1,quadruped,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/58.svg
59,arcanine,fire,NA,110,80,90,100,80,95,1,quadruped,555,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/59.svg
60,poliwag,water,NA,50,40,40,40,40,90,1,legs,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/60.svg
61,poliwhirl,water,NA,65,65,65,50,50,90,1,humanoid,385,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/61.svg
62,poliwrath,water,fighting,95,95,90,70,90,70,1,humanoid,510,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/62.svg
63,abra,psychic,NA,20,15,25,105,55,90,1,upright,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/63.svg
64,kadabra,psychic,NA,35,30,40,120,70,105,1,upright,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/64.svg
65,alakazam,psychic,NA,50,45,55,135,95,120,1,humanoid,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/65.svg
66,machop,fighting,NA,80,50,70,35,35,35,1,upright,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/66.svg
67,machoke,fighting,NA,100,70,80,50,60,45,1,humanoid,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/67.svg
68,machamp,fighting,NA,130,80,90,65,85,55,1,humanoid,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/68.svg
69,bellsprout,grass,poison,75,35,50,70,30,40,1,humanoid,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/69.svg
70,weepinbell,grass,poison,90,50,65,85,45,55,1,blob,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/70.svg
71,victreebel,grass,poison,105,65,80,100,70,70,1,blob,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/71.svg
72,tentacool,water,poison,40,35,40,50,100,70,1,tentacles,335,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/72.svg
73,tentacruel,water,poison,70,65,80,80,120,100,1,tentacles,515,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/73.svg
74,geodude,rock,ground,80,100,40,30,30,20,1,arms,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/74.svg
75,graveler,rock,ground,95,115,55,45,45,35,1,humanoid,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/75.svg
76,golem,rock,ground,120,130,80,55,65,45,1,humanoid,495,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/76.svg
77,ponyta,fire,NA,85,55,50,65,65,90,1,quadruped,410,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/77.svg
78,rapidash,fire,NA,100,70,65,80,80,105,1,quadruped,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/78.svg
79,slowpoke,water,psychic,65,65,90,40,40,15,1,quadruped,315,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/79.svg
80,slowbro,water,psychic,75,110,95,100,80,30,1,upright,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/80.svg
81,magnemite,electric,steel,35,70,25,95,55,45,1,arms,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/81.svg
82,magneton,electric,steel,60,95,50,120,70,70,1,heads,465,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/82.svg
83,farfetchd,normal,flying,65,55,52,58,62,60,1,wings,352,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/83.svg
84,doduo,normal,flying,85,45,35,35,35,75,1,legs,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/84.svg
85,dodrio,normal,flying,110,70,60,60,60,100,1,legs,460,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/85.svg
86,seel,water,NA,45,55,65,45,70,45,1,fish,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/86.svg
87,dewgong,water,ice,70,80,90,70,95,70,1,fish,475,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/87.svg
88,grimer,poison,NA,80,50,80,40,50,25,1,arms,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/88.svg
89,muk,poison,NA,105,75,105,65,100,50,1,arms,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/89.svg
90,shellder,water,NA,65,100,30,45,25,40,1,ball,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/90.svg
91,cloyster,water,ice,95,180,50,85,45,70,1,ball,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/91.svg
92,gastly,ghost,poison,35,30,30,100,35,80,1,ball,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/92.svg
93,haunter,ghost,poison,50,45,45,115,55,95,1,arms,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/93.svg
94,gengar,ghost,poison,65,60,60,130,75,110,1,upright,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/94.svg
95,onix,rock,ground,45,160,35,30,45,70,1,squiggle,385,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/95.svg
96,drowzee,psychic,NA,48,45,60,43,90,42,1,humanoid,328,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/96.svg
97,hypno,psychic,NA,73,70,85,73,115,67,1,humanoid,483,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/97.svg
98,krabby,water,NA,105,90,30,25,25,50,1,armor,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/98.svg
99,kingler,water,NA,130,115,55,50,50,75,1,armor,475,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/99.svg
100,voltorb,electric,NA,30,50,40,55,55,100,1,ball,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/100.svg
101,electrode,electric,NA,50,70,60,80,80,140,1,ball,480,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/101.svg
102,exeggcute,grass,psychic,40,80,60,60,45,40,1,heads,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/102.svg
103,exeggutor,grass,psychic,95,85,95,125,65,55,1,legs,520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/103.svg
104,cubone,ground,NA,50,95,50,40,50,35,1,upright,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/104.svg
105,marowak,ground,NA,80,110,60,50,80,45,1,upright,425,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/105.svg
106,hitmonlee,fighting,NA,120,53,50,35,110,87,1,humanoid,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/106.svg
107,hitmonchan,fighting,NA,105,79,50,35,110,76,1,humanoid,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/107.svg
108,lickitung,normal,NA,55,75,90,60,75,30,1,upright,385,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/108.svg
109,koffing,poison,NA,65,95,40,60,45,35,1,ball,340,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/109.svg
110,weezing,poison,NA,90,120,65,85,70,60,1,heads,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/110.svg
111,rhyhorn,ground,rock,85,95,80,30,30,25,1,quadruped,345,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/111.svg
112,rhydon,ground,rock,130,120,105,45,45,40,1,upright,485,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/112.svg
113,chansey,normal,NA,5,5,250,35,105,50,1,upright,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/113.svg
114,tangela,grass,NA,55,115,65,100,40,60,1,legs,435,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/114.svg
115,kangaskhan,normal,NA,95,80,105,40,80,90,1,upright,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/115.svg
116,horsea,water,NA,40,70,30,70,25,60,1,blob,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/116.svg
117,seadra,water,NA,65,95,55,95,45,85,1,blob,440,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/117.svg
118,goldeen,water,NA,67,60,45,35,50,63,1,fish,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/118.svg
119,seaking,water,NA,92,65,80,65,80,68,1,fish,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/119.svg
120,staryu,water,NA,45,55,30,70,55,85,1,blob,340,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/120.svg
121,starmie,water,psychic,75,85,60,100,85,115,1,blob,520,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/121.svg
122,mr-mime,psychic,fairy,45,65,40,100,120,90,1,humanoid,460,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/122.svg
123,scyther,bug,flying,110,80,70,55,80,105,1,bug-wings,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/123.svg
124,jynx,ice,psychic,50,35,65,115,95,95,1,humanoid,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/124.svg
125,electabuzz,electric,NA,83,57,65,95,85,105,1,upright,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/125.svg
126,magmar,fire,NA,95,57,65,100,85,93,1,upright,495,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/126.svg
127,pinsir,bug,NA,125,100,65,55,70,85,1,humanoid,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/127.svg
128,tauros,normal,NA,100,95,75,40,70,110,1,quadruped,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/128.svg
129,magikarp,water,NA,10,55,20,15,20,80,1,fish,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/129.svg
130,gyarados,water,flying,125,79,95,60,100,81,1,squiggle,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/130.svg
131,lapras,water,ice,85,80,130,85,95,60,1,fish,535,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/131.svg
132,ditto,normal,NA,48,48,48,48,48,48,1,ball,288,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/132.svg
133,eevee,normal,NA,55,50,55,45,65,55,1,quadruped,325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/133.svg
134,vaporeon,water,NA,65,60,130,110,95,65,1,quadruped,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/134.svg
135,jolteon,electric,NA,65,60,65,110,95,130,1,quadruped,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/135.svg
136,flareon,fire,NA,130,60,65,95,110,65,1,quadruped,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/136.svg
137,porygon,normal,NA,60,70,65,85,75,40,1,legs,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/137.svg
138,omanyte,rock,water,40,100,35,90,55,35,1,tentacles,355,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/138.svg
139,omastar,rock,water,60,125,70,115,70,55,1,tentacles,495,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/139.svg
140,kabuto,rock,water,80,90,30,55,45,55,1,armor,355,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/140.svg
141,kabutops,rock,water,115,105,60,65,70,80,1,upright,495,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/141.svg
142,aerodactyl,rock,flying,105,65,80,60,75,130,1,wings,515,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/142.svg
143,snorlax,normal,NA,110,65,160,65,110,30,1,humanoid,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/143.svg
144,articuno,ice,flying,85,100,90,95,125,85,1,wings,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/144.svg
145,zapdos,electric,flying,90,85,90,125,90,100,1,wings,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/145.svg
146,moltres,fire,flying,100,90,90,125,85,90,1,wings,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/146.svg
147,dratini,dragon,NA,64,45,41,50,50,50,1,squiggle,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/147.svg
148,dragonair,dragon,NA,84,65,61,70,70,70,1,squiggle,420,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/148.svg
149,dragonite,dragon,flying,134,95,91,100,100,80,1,upright,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/149.svg
150,mewtwo,psychic,NA,110,90,106,154,90,130,1,upright,680,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/150.svg
151,mew,psychic,NA,100,100,100,100,100,100,1,upright,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/151.svg
152,chikorita,grass,NA,49,65,45,49,65,45,2,quadruped,318,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/152.svg
153,bayleef,grass,NA,62,80,60,63,80,60,2,quadruped,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/153.svg
154,meganium,grass,NA,82,100,80,83,100,80,2,quadruped,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/154.svg
155,cyndaquil,fire,NA,52,43,39,60,50,65,2,humanoid,309,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/155.svg
156,quilava,fire,NA,64,58,58,80,65,80,2,quadruped,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/156.svg
157,typhlosion,fire,NA,84,78,78,109,85,100,2,quadruped,534,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/157.svg
158,totodile,water,NA,65,64,50,44,48,43,2,upright,314,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/158.svg
159,croconaw,water,NA,80,80,65,59,63,58,2,upright,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/159.svg
160,feraligatr,water,NA,105,100,85,79,83,78,2,upright,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/160.svg
161,sentret,normal,NA,46,34,35,35,45,20,2,quadruped,215,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/161.svg
162,furret,normal,NA,76,64,85,45,55,90,2,quadruped,415,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/162.svg
163,hoothoot,normal,flying,30,30,60,36,56,50,2,wings,262,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/163.svg
164,noctowl,normal,flying,50,50,100,76,96,70,2,wings,442,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/164.svg
165,ledyba,bug,flying,20,30,40,40,80,55,2,wings,265,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/165.svg
166,ledian,bug,flying,35,50,55,55,110,85,2,wings,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/166.svg
167,spinarak,bug,poison,60,40,40,40,40,30,2,armor,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/167.svg
168,ariados,bug,poison,90,70,70,60,60,40,2,armor,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/168.svg
169,crobat,poison,flying,90,80,85,70,80,130,2,bug-wings,535,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/169.svg
170,chinchou,water,electric,38,38,75,56,56,67,2,fish,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/170.svg
171,lanturn,water,electric,58,58,125,76,76,67,2,fish,460,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/171.svg
172,pichu,electric,NA,40,15,20,35,35,60,2,quadruped,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/172.svg
